@relation movieComments
@attribute comments string
@attribute lables integer
@data
' spoilers  rent  tesis  thesis  english  on  strength  director  alejandro  amenabar  later  effort  others  .  base  on  brilliantly  measure  horrifyingly  effective  creepfest  film  assume  earlier  efforts  would  similar  quality  mood  good  horror  .  instead  wind  up  tedious  preposterous  excuse  lame  brain  slasher  movie  see  since  german  film  anatomie  one  kind  remind  .the  plot  potential  throw  away  within  first  minutes  .  revolve  around  innocent  n  pretty  psychology  student  angela  ana  torrent  jessica  harper  deadringer  thesis  on  subject  violence  film  .  far  fetch  circumstances  too  dumb  go  wind  up  possession  snuff  tape  on  two  men  torture  mutilate  kill  young  girl  camera  .  angela  horror  buff  friend  chema  fele  martinez  shock  yet  intrigue  tape  decide  get  bottom  responsible  it.this  lead  ...  well  nothing.they  never  really  give  reason  want  find  girl  killers  since  resolutely  refuse  contact  police  throughout  unfold  events  even  live  risk  mystery  limp  graham  norton  room  full  bunny  girls  .  one  proper  clue  type  camera  killers  use  discover  really  weak  one  b  wheel  out  first  minutes  .  rest  call  unravel  occur  blind  luck  increasingly  ridiculous  plot  twist  slew  awful  transparent  thoroughly  pointless  red  herrings  chuck  merely  pad  out  run  time.seriously  amenabar  might  know  stuff  ghost  stories  clearly  never  read  detective  book  life  .  key  good  whodunnit  large  cluster  potential  suspect  eliminate  one  one  clever  deduction  gradual  discovery  evidence  move  final  twist  .  tesis  potential  spoiler  ahead  killer  identity  guess  correctly  amateur  detectives  almost  instantly  get  minutes  writer  try  feebly  throw  us  scent  run  out  ideas  throw  hand  up  say  ok  ya  get  kind  logic  motive  behind  crimes  no  luck  .  watch  wrong  movie  after.the  thing  drag  tesis  down  dumb  badly  write  thriller  way  actually  try  make  ludicrous  muddle  up  point  violence  film  .  no  idea  stance  attempt  take  on  subject  seem  determine  cram  ton  misguide  confuse  psychobabble  rest  gibberish  say  look  political  .  final  scenes  point  movie  supposedly  hammer  home  utterly  absurd  puerile  one  help  wonder  amenabar  feel  embarrass  watch  .  certainly  .  total  amateur  night  slasher  house  stuff.overall  believe  waste  two  whole  hours  felt  like  least  six  on  hop  something  might  happen  .  urban  legend  snuff  film  basically  despite  way  film  try  suggest  kind  criminal  phenomenon  sweep  world  area  tantalisingly  exploit  good  horror  film  videodrome  anyone  easy  step  line  childlike  cool  territory  ie  little  eye  ...  tesis  hit  time  low  snuff  movie  genre  .  on  every  level  one  better  leave  dead  bury  .  award  out  nice  light  get  .',-1
' good  storyline  good  thrill  ...  last  second  destroy  whole  movie  ...  happen  extremely  well  make  good  story  destroy  last  second  ...  sorry  say  vote  ...  deserve  would  think  chris  shadley  could  come  up  better  end  ...  maybe  next  time  meaningless  blood  gore  nothing  end  would  lift  story  close  ....  end  destroy  whole  story  think  people  lame  go  movie  thy  want  good  end  even  intricate  ...  lame  end  ...  sorry',-1
' still  get  see  run  on  cable  right  seem  keep  come  on  middle  .  main  reason  interest  bill  paxton  fan  pretty  good  actor  turn  consistently  good  work  course  career.the  thing  never  really  fan  old  series  kind  like  thunderbirds  ship  effect  work  .  derek  meddings  quite  possibly  best  business  sixties  seventies  design  international  rescue  craft  wonderful  .  current  team  fine  job  translate  work  big  screen.but  ...  one  lame  story  .  kid  ask  drive  okay  job  hard  suspend  disbelief  especially  brain  eight  year  old  son  fly  enormous  multi  ton  transport  aerodynamics  buick  .  everywhere  look  see  ford  logo  .  product  placement  way  top  annoy  .  ben  kingsley  good  job  hood  much  one  dimensional  role  .  accept  film  on  slim  merit  thunderbirds  fun  enjoyable  ride  .  look  too  closely  machinery  drive  it.addendum  finally  get  see  worse  think  .  act  fairly  uniformly  poor  effect  fairly  good  story  on  multiple  view  get  cheesier  .  overdo  product  placement  ford  annoy  kid  central  character  grate  on  remain  nerve  .  avengers  ignore  source  material  bearable  .  not  .  watch  original  show  see  mean.and  word  advice  jon  frakes  .  take  refresher  course  director  guild  .  better  old  friend.another  footnote  ...  saw  .  last  night  .  on  telemundo  .  dub  spanish  cheesy  comedy  sound  effect  .  yes  come  roughly  middle  ben  ron  sophia  fight  scene  on  tracy  island.i  think  possible  already  lame  movie  worse  .  embarrassingly  bad.if  straight  no  kid  rescue  no  tongue  cheek  joke  might  work  .  another  beloved  childhood  joy  ruin  .',-1
' incredibly  stupid  movie  .  possibly  worst  movie  ever  displeasure  sit  .  not  fathom  rank  rat  .............',-1
' esteem  production  fan  .  paraphrase  classic  bad  review  mary  reilly  moby  dick  like  paint  slower.this  philosophical  grind  movie  production  never  make  great  film  rather  substitute  lack  strong  guide  idea  case  book  transference  film  list  hopelessly  atomize  undynamic  dazzle  conceits  effort  trick  viewers  think  see  greatness  .  viewers  critics  apt  fall  oscars  follow  fee  whole  dumb  equation.i  share  pleasure  reviewers  find  .  moby  dick  stunningly  uninvolving  .  actors  dutifully  recite  essay  jonah  moby  dick  ocean  moby  dick  moby  dick  ...  things  respond  not  one  absorb  slightest  .  dramatically  inert  .  build  .  narrative  term  moby  dick  movie  little  forego  conclusion  search  actual  story  .  half  hour  mutter  oh  terrific  ...  another  oath  ...  another  minute  soliloquy  fail  effort  involve  pretty  campy  overact  showcase  .  lot  grey  hair  .  starbuck  suppose  golden  god  .  one  know  one  look  great  director  make  medium  rather  try  replicate  feel  someone  else  paint  palette  reverently  embalm  classic  huston  .  paint  book  nice  different  mediums  .  movie  like  fail  grasp  honestly  enjoyable  piece  crap  village  damn  better  respect  insufferable  piece  culture  .  eat  vegetables  school  film  making.one  appreciate  work  must  make  movie  not  narrative  .  segment  reflect  maritime  research  interest  record  shanties  mean  structure  work  various  sea  efforts  technology  whale  .  call  two  plus  hour  movie  .',-1
' one  would  think  film  young  person  come  term  burgeon  homosexuality  would  anything  bore  .  think  .  production  bottle  sell  cure  insomnia  ten  time  potent  sleep  aid  on  market  .  almost  film  maker  consider  make  movie  get  lazy  decide  instead  run  series  random  randomly  bore  image  go  nowhere  scenes  throw  couple  actual  scenes  feature  actual  act  pretend  good  light  ins  important  film  make  process  wrap  up  auspices  arthouse  film  .  exactly  kind  crappy  product  make  easy  lot  traditional  film  makers  poo  poo  indie  film  movement  keep  general  public  easily  embrace  indie  films.if  interest  film  cover  subject  matter  much  better  tune  great  short  film  available  logo  website  rent  get  real  .  better  yet  read  stone  butch  blue  .  whatever  skip  long  wind  piece  dreck  .',-1
' worst  ripoff  home  alone  movies  ever  see  watch  part  two  let  anyone  say  better  first  two  mean  really  make  movie  make  sequel  character  actors  make  another  sequel  different  character  actors  mean  would  ok  wan  home  alone  movie  make  home  alone  movie  .  culkin  too  old  suppose  stop  make  sequels  goodness  movie  make  sick  buy  part  .',-1
' redeem  part  movie  price  pay  .  least  lose  .  time  elapse  sit  bomb  .  crew  member  charge  continuity  miss  boat  .  female  lead  fbi  guy  go  allege  killers  location  mr.  fbi  hand  female  revolver  .  allege  killer  come  out  door  revolver  magically  transform  automatic  .  one  leave  ponder  would  fbp  agent  hand  weapon  civilian  think  not  .  ms.  xavier  appear  attractive  female  .  too  bad  r  rat  not  allow  much  see  .  would  seem  film  editor  cut  might  best  part  film  out  .',-1
' spend  almost  two  hours  watch  movie  think  good  actors  would  worth  watch  .  believe  movie  end  absolutely  no  idea  happen  .....  mad  could  use  time  something  else  ....  try  figure  out  really  no  clue  .  thank  figure  out  explain  ....  right  wrong  better  not  know  anything  lady  movie  dark  hair  saw  couple  time  drive  away  first  lady  know  husband  cheat  on  end  movie  kate  say  would  eventually  find  out  truth  .  mean  go  subject  end  game',-1
' ahh  dull  t.v  .  show  pilot  slam  together  make  equally  dull  t.v  .  movies  examples  would  rid  death  hysterically  cheesy  lot  strand  space  confuse  uninteresting  san  francisco  international  horribly  dull  unbelievably  confuse  turgid  bite  quinn  martin  glamor.shot  hawaii  although  know  outside  shots  apparently  fail  pilot  lame  spy  show  .  real  problem  like  character  include  drab  main  character  diamond  head  seem  half  asleep  entire  movie  boss  aunt  mary  really  weird  delivery  line  shellac  white  hair  well  tan  look  like  stucco  on  diamnd  head  girlfriend  fellow  agent  hell  even  remember  name  skinny  wooden  woman  flat  way  speak  not  sexy  interest  sing  sidekick  zulu  remember  character  name  bad  small  dose  .  interest  person  whole  production  ian  mcshane  suck  bad  guy  still  prove  act  chop  .  alothugh  make  up  job  call  chameleon  use  disguise  laughable  .  absolutely  no  idea  try  steal  lab  dress  south  american  dictator  cum  american  general  .  nor  care  .  plot  simply  interest  enough  hold  attention  even  ten  minutes  time  let  alone  hour  half  go  on  .  call  one  hawaii  five  no',-1
' hee  hee  hee  .  movie  bad  even  try  hide  fact  suck  big  time  .  remember  day  first  saw  on  mst  .  sun  shin  look  like  good  day  .  saw  product  rick  sloane  consist  horrible  plush  dolls  wreak  havoc  crappy  fest  land  .  kevin  wussy  extraordinaire  try  impress  girlfriend  manage  assistant  security  guard  job  fight  rake  plenty  stuff  badly  make  series  image  .  no  plot  story  need  .  obviously  no  act  necessary  film  prove  .  army  guy  sex  craze  girl  make  want  leap  cliff  dorky  friend  get  kick  phone  sex  make  say  get  nice  red  short  .  plus  really  hat  old  security  guard  wish  accident  supermarket  cart  .  think  wait  club  scum  scene  .  ask  road  rash.i  advise  view  film  good  month  regain  sense  sanity  .  see  rick  sloane  give  good  kick  groin  show  much  appreciate  crapsterpiece  call  hobgoblins  .',-1
' point  movie  plot  not  know  .  shaq  act  people  know  direct  kazaam  genie  rap  come  on  .  maybe  eminem  linkin  park  movie  like  .  remember  watch  kill  time  .  really  interest  .  remember  think  put  shaq  movie  whole  story  seem  stupid  too  .  make  no  sense  whatsoever  .  guess  unrealized  moral  movie  find  anything  ghetto  anything  happen  .  comment  much  movie  terrible  nothing  worth  comment  .  wish  movie  would  go  away  .',-1
' mind  boggle  exactly  universal  soldier  merit  sequel  .  since  real  star  dolph  lundgren  would  not  able  reprise  role  original  already  scant  reason  indulge  oneself  obvious  tax  write  .  bold  attempt  make  fill  gap  professional  wrestler  bill  goldberg  martial  arts  expert  michael  jai  white  .  credit  give  action  sequence  good  sense  excitement  .  bill  goldberg  look  like  time  life  on  film  make  fair  stab  fill  requisite  comedic  villain  role  .  role  kind  involve  repeat  line  time  not  get  irritate  .  problem  audience  point  view  neither  gentlemen  really  sense  comic  time  minor  humility  make  lundgren  pleasure  watch  almost  film  .  therein  lie  problem  .  not  go  see  van  damme  film  want  serious  action  .  go  want  comedy  however  unintentional.unbeknownst  many  people  universal  soldier  follow  two  direct  video  sequels  .  see  first  production  value  bad  one  wonder  mean  kind  elaborate  joke  .  matt  battaglia  terrible  role  luc  deveraux  career  sight  jean  claude  van  damme  come  welcome  relief  .  film  less  completely  disregard  stories  aforementioned  direct  video  sequels  instead  begin  whole  new  story  set  indeterminate  time  events  original  .  years  investigation  explanation  unisol  project  still  go  ahead  minor  modifications  .  one  new  unisols  stronger  damage  resistant  earlier  cousins  .  another  unisols  direction  supercomputer  call  seth  .  early  part  film  seth  exist  primarily  series  abstract  graphics  within  glass  dome.being  film  barely  last  eighty  minutes  quickly  tell  fund  military  cut  .  unisol  project  on  chop  block  essentially  mean  seth  turn  .  seth  somehow  overhear  conversation  mean  never  really  explain  decide  mobilise  unisols  army  seek  shut  down  .  problem  every  often  code  require  put  system  order  prevent  automatic  shutdown  .  two  individuals  possess  code  question  .  seth  kill  first  short  order  familiar  plot  kit  van  damme  film  construct  out  guess  within  five  second  second  happen  .  rest  film  revolve  around  unisols  attempt  get  code  out  van  damme  without  injure  too  badly  .  subplot  daughter  reporter  weave  film  add  much  story  van  damme  profession  acting.the  film  load  brim  ridiculous  line  clichs  .  seth  transplant  command  module  body  michael  jai  white  get  speech  time  humans  .  go  on  tell  foot  soldier  fear  mortality  humanity  weakness  es  .  gee  seth  mean  not  strong  point  kid  aside  short  length  film  film  weakness  strength  .  leave  action  without  adequate  setup  .  original  give  thorough  explanation  unisols  work  bring  state  see  majority  film  .  writer  seem  take  grant  viewer  know  unisol  operate  .  least  original  moment  curiosity  wonder  create  leave  explanation  later  film  hero  lie  tub  ice  .  one  villains  shoot  gun  leave  massive  hole  uniform  presumably  body  get  up  every  time  without  stop  breath.i  tend  reserve  score  one  film  bad  become  entertain  completely  unintentional  manner  .  see  on  cheap  knock  out  .  kind  film  make  mourn  loss  mystery  science  theatre  .',-1
' violence  whether  real  not  always  impact  .  film  violence  crass  could  ask  .  great  ecstacy  director  successfully  demonstrate  extremes  violence  people  capable  .  point  violence  look  like  mix  no  irreversible  kubrick  clockwork  orange  ...  remarkable  film  .  get  wrong  not  oppose  screen  violence  see  nasty  stuff  film  go  years  film  whole  totally  juvenile  .  story  never  develop  enough  offer  reason  extreme  violence  rizla  paper  thin  reason  give  robert  demise  introduction  drug  .  danny  dyer  play  character  partly  responsible  robert  drug  fuel  demise  however  on  screen  less  minutes  .  lesley  manville  robert  unable  cope  mum  not  sure  either  actors  film  low  caliber  .  act  wooden  scene  kitchen  tv  cook  wife  instance  painful  watch  not  shock  finale  write  dialogues  comment  boys  make  ...  look  like  enjoy  trite  tempt  one  laugh  not  clay  ardent  desire  bombard  us  harrow  image  mutilate  female  genitals  .  need  show  detail  possibly  down  director  adolescent  obsession  sadistic  pornographic  imagery  ...  one  wonder  young  man  psychology.the  political  mean  film  repeatedly  bring  attention  due  amount  scenes  bar  outside  tv  cook  house  war  iraq  report  perhaps  too  obvious  opinion  .  yes  war  violent  social  determinism  frustration  prone  horrifingly  violent  act  whether  politics  on  street  pop  e.  juxtapose  things  part  underlie  issue  evade  actual  issue  mean  violence  man  .  issue  one  still  manage  grasp  certainly  not  film.my  opinion  derivative  badly  make  pointless  .',-1
' whoever  think  another  home  alone  film  would  good  idea  head  examine  ...  plot  different  kid  villains  lead  endless  stupidity  trap  .  two  film  bad  enough  hit  rock  bottom  .  people  may  well  watch  film  plot  identical  .',-1
' complete  waste  timehalla  bol  complete  waste  time  .  script  dialogues  poorly  write  direction  lacklustre  act  border  on  hammy.this  movie  clearly  aim  ring  de  basanti  crowd  fall  far  short  mark  not  even  one  elements  make  rdb  connect  audience  great  script  terrific  act  good  direction  powerful  social  message  never  preach  shown.compared  near  masterpiece  halla  bol  take  step  backwards  resort  scenes  hero  take  leak  on  villain  persian  rug  hero  mentor  star  down  bullets  truck  no  less  might  acceptable  downturn  movie  quality  bad  movies  like  divyashakti  phool  aur  kaante  become  big  hit  movie  make  become  become  subtle  thoughtful  late.rajkumar  santoshi  capable  director  appreciate  want  give  social  message  every  movie  make  maybe  simply  not  know  resort  sermonize  without  care  audience  intelligence  understand  try  say  .  maybe  concentrate  on  entertainment  leave  social  message  rakeysh  mehras  aamir  khans.even  agree  everything  say  agree  throughout  screen  think  ring  de  basanti  much  much  better  mr.santoshi  leave  industry  bash  om  shanti  om  .  industry  bash  right  santoshi  depict  industry  place  back  bite  bitch  cast  couch  hero  happily  indulge  starlet  curiously  name  sania  .  people  think  portion  show  real  face  industry  .  believe  everything  see  raise  voice  movies  like  spend  hard  earn  money  on  bomb  .  out  .',-1
' seriously  .  wrap  up  first  view  demonicus  word  fail  me.i  remember  time  would  see  charles  band  name  on  film  heart  would  race  .  never  wes  craven  john  carpenter  .  bastion  hope  little  man  .  guy  whose  movies  arrive  video  store  instead  multiplex  still  rock  harder  trendy  junk  otherwise  endure.and  ...  this.a  painfully  obvious  californian  walk  trail  double  alps  abandon  train  tunnel  actually  suppose  ancient  cave  .  mean  even  try  dress  thing  up  moss  film  way  might  suggest  anything  old  train  tunnel  ugh  instead  creepy  demon  gladiator  cover  imply  treat  dude  wear  latest  wal  mart  halloween  apparel  .  pretty  cool  look  corpse  occasionally  come  life  belch  wiggle  finger  even  learn  stand  final  five  minutes  .  villain  instead  get  frat  boy  joe  plastic  sword  .  ouch.charles  band  ...  ashamed  name  attach  tripe  .  love  movies  bad  good  .  hell  occasionally  enjoy  flick  bad  bad  .  one  however  unwatchable  .  perfect  example  make  buck  rather  make  quality  film  .',-1
' possibly  worst  fence  sword  fight  movie  ever  make  .  not  call  sport  fence  poor  plot  character  weak  get  throw  semi  nude  sex  scene  later  suppose  group  dance  around  fence  scene  fence  club  try  suppose  maintain  audience  interest  .  waste  f.  murray  abraham  talents  .  better  serve  overblown  swashbuckling  movies  like  zorro  scaramouche  anything  basil  rathbone  villain  .  fencer  recognize  near  impossibility  capture  fence  sport  on  film  ever  happen  get  fresher  better  draw  character  plot  depth  .',-1
' saw  movie  think  ok.  friends  work  say  watch  better  .  .  surprise  worse  on  second  time  word  limit  go  get  ball  roll  .  bomb  scenes  stupid  .  on  earth  would  anyone  wait  trigger  explosion  none  character  even  remotely  likable  .  not  on  first  time  not  even  second  .  oh  last  time  check  car  not  explode  single  gun  shoot  nor  fire  huge  put  out  tiny  fire  extinguisher  ...  viewers  actually  watch  movie  camera  shaky  barely  tell  go  on  .  open  scene  robot  stomach  put  rest  movie  not  much  better  .  sniper  scene  .  mcmanus  brothers  boondock  saint  would  roll  eye  stupid  .  first  guy  plant  gun  one  person  get  shoot  furthermore  would  spend  much  time  clean  bullets  reload  aim  not  get  shoot  much  chaos  go  on  around  sas  type  run  instead  stay  fight  back  huh  soldier  ...  gay  ...  mean  sound  homophobic  honestly  scene  ridiculous  .  too  long  good  yet  too  short  amount  material  cram  .  bigelow  seem  think  action  better  .  look  like  wrong  movie  full  superfluous  action  scenes  throw  distract  lack  central  plot  .  know  watchmen  longer  minutes  least  movie  drag  .  movie  on  hand  feel  longer.the  good  thing  renner  satisfactory  best  .  favour  skip  give  hype  .',-1
